avg_hold_time_ms,std_hold_time_ms,avg_flight_time_ms,std_flight_time_ms,typing_speed_kps,key_press_frequency,error_rate,total_keystrokes,avg_mouse_speed,std_mouse_speed,max_mouse_speed,total_clicks,left_clicks,right_clicks,click_frequency,total_scrolls,scroll_up_count,scroll_down_count,total_idle_time_s,avg_idle_time_s,idle_count,mouse_x_range,mouse_y_range,session_timestamp,label
114.1552,63.2096,1047.1928,1924.2687,1.0531,1.0488,0.0444,45.0,901.6111,1189.5249,5594.2837,8,4,4,0.2021,0,0,0,17.6164,3.5233,5,743,637,2026-07-25 20:57:51,1
117.0483,52.3035,413.5115,843.2246,1.9702,1.9676,0.051,294.0,712.5235,1253.2713,9087.445,42,34,8,0.024,22,0,22,33.1044,3.3104,10,1739,1094,2026-07-25 21:16:52,1
121.296,65.2893,485.6501,798.5528,1.7653,1.7596,0.0256,117.0,641.6873,1174.2994,9087.445,78,64,14,0.0387,104,0,104,50.4566,2.8031,18,1826,1096,2026-07-25 21:20:58,1
122.877,61.5148,796.6533,2407.3439,1.1774,1.1756,0.0325,123.0,597.2524,1105.2281,9087.445,102,86,16,0.045,104,0,104,55.2917,2.5133,22,1826,1096,2026-07-25 21:24:59,1
656.2927,6951.0189,532.7534,913.4086,0.8985,0.8978,0.0539,167.0,598.3106,1086.004,9087.445,122,106,16,0.0255,208,0,208,107.0081,3.9633,27,1895,1096,2026-07-25 22:06:53,1
128.3377,67.9365,673.4421,2100.2847,1.3614,1.3594,0.0549,182.0,585.0006,1053.8936,9087.445,164,146,18,0.0324,359,7,352,112.3771,3.7459,30,1895,1105,2026-07-25 22:11:57,1
109.4226,78.0161,824.3366,2870.7693,1.1729,1.1717,0.0238,210.0,617.5616,1104.1512,13424.9218,208,188,20,0.0384,475,16,459,131.8636,3.5639,37,1895,1105,2026-07-25 22:17:30,1
154.452,198.6747,1560.1378,11233.8075,0.9874,0.987,0.034,265.0,629.941,1122.5467,13424.9218,240,220,20,0.0031,475,16,459,70575.1643,1501.5992,47,1895,1105,2026-07-26 17:58:36,1
135.9117,269.609,708.1991,1972.734,1.322,1.3211,0.0184,326.0,655.1072,1265.5889,28907.6431,266,246,20,0.0035,651,23,628,70604.0022,1217.3104,58,1895,1213,2026-07-26 18:06:01,1
150.7666,193.1797,560.1857,1152.5457,1.5783,1.5771,0.0393,458.0,610.2988,1201.5985,28907.6431,340,308,32,0.0044,1013,26,987,70652.9697,1039.0143,68,1895,1213,2026-07-26 18:14:01,1
226.1093,1766.1378,693.8997,2139.3566,1.3493,1.3484,0.0404,297.0,613.6297,1192.9871,28907.6431,366,332,34,0.0043,1193,41,1152,77389.8005,1060.1343,73,1916,1213,2026-07-26 20:12:01,1
158.619,737.05,553.6256,1614.0786,1.5922,1.5916,0.0343,437.0,595.9579,1165.2792,28907.6431,430,390,40,0.0051,1313,44,1269,77397.7561,967.472,80,1916,1213,2026-07-26 20:18:29,1
130.6967,79.1455,465.6232,866.6446,1.831,1.8294,0.0197,305.0,592.5929,1151.0617,28907.6431,524,480,44,0.0062,1532,48,1484,77417.8776,869.8638,89,1987,1213,2026-07-26 20:24:30,1
335.1556,173.2177,1822894.8798,2102868.0277,0.0014,0.0014,0.0,5.0,597.9651,1200.5149,28907.6431,563,517,46,0.0063,1578,51,1527,77423.6754,823.6561,94,1987,1213,2026-07-26 21:26:52,1
246.5559,339.0175,530.4435,999.3763,2.0257,2.0235,0.024,334.0,601.5819,1195.114,28907.6431,629,581,48,0.0071,1602,51,1551,77425.743,798.2035,97,1987,1213,2026-07-26 21:32:15,1
106.4631,125.9425,592.8352,1002.2459,1.6115,1.6074,0.0722,97.0,607.8347,1195.7194,28907.6431,661,611,50,0.0074,1602,51,1551,77446.8305,751.911,103,1987,1213,2026-07-26 21:34:56,1
143.9781,144.5739,510.2476,1029.6484,1.9869,1.9836,0.1027,185.0,613.3106,1198.0225,28907.6431,697,645,52,0.0078,1646,51,1595,77448.5961,730.6471,106,1987,1213,2026-07-26 21:37:38,1
236.4037,299.7761,435.5037,830.2669,2.4638,2.4605,0.2811,249.0,600.7549,1173.4432,28907.6431,743,689,54,0.0083,1691,51,1640,77457.4025,710.6184,109,1987,1213,2026-07-26 21:42:05,1
113.4949,49.7925,432.0404,870.3674,2.0075,2.0059,0.0204,393.0,596.4313,1167.4236,28907.6431,855,795,60,0.0095,1772,51,1721,77458.753,691.596,112,1987,1213,2026-07-26 21:47:50,1
