event_type,x,y,button,action,scroll_dx,scroll_dy,speed_px_s,idle_time_s,timestamp
movement,943,788,none,moved,0,0,0.0,0.0,2026-07-25 20:47:02.294503
movement,780,799,none,moved,0,0,4094.7365,0.0,2026-07-25 20:47:02.348903
movement,579,882,none,moved,0,0,2450.1965,0.0,2026-07-25 20:47:02.403912
movement,529,930,none,moved,0,0,637.2948,0.0,2026-07-25 20:47:02.458818
movement,554,968,none,moved,0,0,916.9095,0.0,2026-07-25 20:47:02.513626
movement,678,963,none,moved,0,0,3426.1884,0.0,2026-07-25 20:47:02.568569
movement,822,887,none,moved,0,0,1605.8948,0.0,2026-07-25 20:47:02.623327
movement,836,866,none,moved,0,0,593.2537,0.0,2026-07-25 20:47:02.678264
movement,804,819,none,moved,0,0,935.674,0.0,2026-07-25 20:47:02.733117
movement,759,781,none,moved,0,0,1132.5345,0.0,2026-07-25 20:47:02.788213
movement,746,759,none,moved,0,0,147.64,0.0,2026-07-25 20:47:02.842947
movement,763,744,none,moved,0,0,912.0954,0.0,2026-07-25 20:47:02.898181
movement,789,725,none,moved,0,0,146.9263,0.0,2026-07-25 20:47:02.952623
movement,789,724,none,moved,0,0,0.0,0.0,2026-07-25 20:47:03.021384
movement,772,728,none,moved,0,0,746.5125,0.0,2026-07-25 20:47:03.076227
movement,740,736,none,moved,0,0,144.761,0.0,2026-07-25 20:47:03.131078
click,737,736,right,pressed,0,0,0.0,0.0,2026-07-25 20:47:04.527788
click,737,736,right,released,0,0,0.0,0.0,2026-07-25 20:47:04.719831
idle,737,736,none,idle_start,0,0,0.0,0.0,2026-07-25 20:47:04.720613
idle,734,741,none,idle_end,0,0,0.0,1.2506,2026-07-25 20:47:05.971259
movement,734,741,none,moved,0,0,2.0679,0.0,2026-07-25 20:47:05.971956
movement,680,803,none,moved,0,0,1986.8522,0.0,2026-07-25 20:47:06.025824
movement,621,868,none,moved,0,0,1785.707,0.0,2026-07-25 20:47:06.080701
movement,569,943,none,moved,0,0,1774.136,0.0,2026-07-25 20:47:06.135720
movement,541,1022,none,moved,0,0,1634.327,0.0,2026-07-25 20:47:06.190571
movement,555,1077,none,moved,0,0,1123.446,0.0,2026-07-25 20:47:06.245563
movement,578,1080,none,moved,0,0,429.4216,0.0,2026-07-25 20:47:06.300428
movement,598,1070,none,moved,0,0,405.1945,0.0,2026-07-25 20:47:06.355147
movement,608,1054,none,moved,0,0,142.4067,0.0,2026-07-25 20:47:06.410120
movement,608,1045,none,moved,0,0,291.1599,0.0,2026-07-25 20:47:06.465056
movement,583,1018,none,moved,0,0,897.3684,0.0,2026-07-25 20:47:06.519954
movement,546,994,none,moved,0,0,526.9077,0.0,2026-07-25 20:47:06.574731
movement,531,981,none,moved,0,0,138.166,0.0,2026-07-25 20:47:06.629794
movement,526,973,none,moved,0,0,149.0142,0.0,2026-07-25 20:47:06.684361
movement,526,969,none,moved,0,0,13.2591,0.0,2026-07-25 20:47:06.794136
movement,529,969,none,moved,0,0,47.3855,0.0,2026-07-25 20:47:06.863838
movement,536,969,none,moved,0,0,285.0166,0.0,2026-07-25 20:47:06.918395
movement,568,971,none,moved,0,0,868.3192,0.0,2026-07-25 20:47:06.973026
movement,590,973,none,moved,0,0,150.7116,0.0,2026-07-25 20:47:07.027327
movement,592,974,none,moved,0,0,0.0,0.0,2026-07-25 20:47:07.089102
movement,588,974,none,moved,0,0,148.9878,0.0,2026-07-25 20:47:07.143853
movement,538,969,none,moved,0,0,1506.1684,0.0,2026-07-25 20:47:07.198881
movement,465,967,none,moved,0,0,867.5515,0.0,2026-07-25 20:47:07.253958
movement,428,970,none,moved,0,0,415.8403,0.0,2026-07-25 20:47:07.309402
movement,418,970,none,moved,0,0,0.0,0.0,2026-07-25 20:47:07.370505
idle,418,970,none,idle_start,0,0,0.0,0.0,2026-07-25 20:47:09.225193
idle,415,966,none,idle_end,0,0,0.0,1.1565,2026-07-25 20:47:10.381502
movement,415,966,none,moved,0,0,1.6606,0.0,2026-07-25 20:47:10.386044
movement,360,923,none,moved,0,0,1218.3153,0.0,2026-07-25 20:47:10.436291
movement,292,907,none,moved,0,0,1145.4761,0.0,2026-07-25 20:47:10.491235
